,,,,,,,,,,,,,
Место,Бр.,Бр.,Регистарски број,Датум на решение,Назив на производителот на вино,Адреса на седиштето на производителот на вино,Адреса на главниот преработувачки капацитет,Капацитет за прием и преработка на грозје (тони),Површини под сопствени лозови насади(ха),Вкупна површина под лозови насади од постојани коперанти (во хектари),"Капацитет на опремата за пакување на
виното(во број на
шишиња на ден)",Телефон,факс
,27,11,"Уп I бр. 29-1038/15
промена Уп I бр.16- 2157/16","25.06.2015
21.01.2017","Друштво за производство и дистрибуција на вино МОВИНО ДОО Скопје-Подружница ВИНАРСКА ВИЗБА
РОСОМАН КО Рибарци",ул.Ѓуро Стругар бр.5 Скопје - Центар,с.Рибарци бр.1б Росоман,7000,/,/,1000,,
,28,12,08-5710/4,28.11.2011,"ДПТГУ ""ЛЕТПРОМ Летка"" ДООЕЛ","Булевар Македонија бр.66
Кавадарци","ул.Ресавска бр.37
Кавадарци",10,"3,3",/,/,043/550-887,
,29,13,Уп I бр. 16-1295/17,05.09.2017,ТЕКСТИЛ Акционерско друштво за промет на стоки и усуги на големо и мало Скопје,"ул.Перо Наков бр.31, Скопје-Гази Баба",ул.Индустриска бр.20 Кавадарци,12 000 000,,,,,
,30,14,29-16769/2,05.08.2013,"Винарска Визба Милев ГД Тиквеш
експорт-импорт ДООЕЛ Кавадарци",Ул.29-ти Ноември бр.5 Кавадарци,с.Трстеник,4000,,,,,
,31,15,Уп I бр.29-607/14,24.09.2014,"Друштво за производтство,трговија,услуги и транспорт НИКОЛОВ КОМПАНИ 2014 ДООЕЛ увоз-извоз Кавадарци","Ул.14-ти мај, бр.87 А, Кавадарци",ул.Киро Крстев бр.58 Кавадарци,45,,,,,
,32,16,"29-18517/2
Уп I бр.29-534/14","24.09.2013
11.09.2014","ДПТ ""ПОВАРДАРИЕ-АНЕВСКИ"" ДООЕЛ
Штип",ул.Железничка бр 39 Штип,с.Марена - Кавадарци,1000,/,/,/,032/392-925,
,33,17,Уп I бр.16-1330/17,04.10.2017,"Друштво за производство и трговија со грозје, вино и останати алкохолни и
безалкохолни пијалоци БАРОВО ДООЕЛ Скопје","ул.810 бр.2, Гази Баба- Скопје","Плоштово бр.1и 2, КО Крнево",365,"153,8",,1000,075/499-405,
,34,18,Уп I бр.16-1369/16,05.09.2016,Друштво за производство и трговија Винарска Визба ЛАЗАР ДООЕЛ,ул.Вано Тошев бр.21 Неготино,Стоби бб,50000,/,10,,,
Кратово,35,1,08-5883/2,11.07.2011,"""ЗЕМСИЛ-РИК СИЛЕКС"" АД.ДООЕЛ",Ул.Гоце Делчев бб Кратово,ул.Ѓуро Салај бб Кратово,500,40,/,1500,031/481-928,
Куманово,36,1,"08-5987/3
Уп I бр. 29-619/14","12.09.2011
09.10.2014","ДПТУ ""ЃОРГО-КОМЕРЦ"" - ДООЕЛ",ул.Моша Пијаде бр 150 Куманово,"1бб, с.Проевце
Куманово",600,/,115,5000,,
